time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13,chloroplast14,chloroplast15
31,1,3.388236454,7.93327262,3.788970995,2.802618993,5.56574409,3.279816624,6.01039057,10.552183,8.50224503,7.45192794,8.95122497,11.15238849,5.1075531,5.82257029,9.70588235
32,1,3.348179178,7.40015758,3.614167582,2.756935606,5.34776311,3.171056068,5.86819738,9.9624498,8.30049301,7.2254159,9.12071045,10.49919074,5.06896633,5.82257029,9.41476559
33,1,3.222482156,7.19038626,3.614167582,2.48257363,5.00118457,3.221626147,5.63471733,9.75573283,8.19170892,6.0093028,8.71042591,9.8463876,4.776923611,5.60864047,9.12071045
34,1,3.186980787,6.9521244,3.73042491,2.40131149,4.961382567,3.124809761,5.07695209,9.02184646,8.03675895,5.71988777,8.71042591,9.43875025,4.816658393,5.40694471,8.82352941
35,1,3.116011797,6.9521244,3.682444494,2.200584956,4.508004682,2.9997561,5.13803046,8.5316299,7.58732053,5.5066007,8.13359621,9.19403354,4.816658393,5.40694471,8.23856169
36,1,2.96446069,6.69297166,3.608652649,2.045819996,4.210024336,2.937209734,5.04531256,8.43290316,7.22159788,5.29378898,8.37831225,8.95122497,5.1075531,5.40694471,7.94451829
37,1,2.696478462,6.2864089,3.608652649,1.954603719,4.124005795,2.659898096,5.01386486,7.89960532,6.81393703,5.27489335,8.0642543,8.71042591,5.1075531,5.1927785,7.94451829
38,1,2.652447903,6.09509418,3.619904789,1.845482491,3.810793642,2.349999412,4.968383797,7.99260429,6.81789447,5.16591976,7.66073132,8.23529412,4.776923611,5.40694471,7.67780121
39,1,2.58904037,5.89625503,3.619904789,1.736101788,3.774372877,2.425819878,4.952308421,8.04059332,6.96895414,5.22993765,8.0642543,8.00119771,4.776923611,5.40694471,7.65047833
40,1,2.623868967,5.91842106,3.619904789,1.690648189,3.50079321,2.378589256,4.672991906,8.03948548,6.93995132,5.26365614,7.66073132,7.76958432,4.816658393,5.20973821,7.35644208
41,1,2.614910507,5.75628398,3.619904789,1.554032661,3.26366844,2.471976353,4.610812867,8.03948548,6.71000806,5.43781544,7.51296905,7.58878503,5.06896633,5.20973821,7.07316221
42,1,2.374417167,5.5383333,3.619904789,1.36317108,3.087020706,2.518620357,4.440859849,8.13735294,6.7430712,5.37090641,7.51296905,7.76958432,5.06896633,5.20973821,6.77940259
43,1,2.338681025,5.44428289,3.454283736,1.253931483,3.087020706,2.396207348,4.394735923,8.28450257,6.71597547,5.41340041,7.81354171,7.76958432,5.06896633,5.43185168,6.18033989
